floor,meters,zone,xiaoqu,directon,area,house_name,region,house_price
低楼层（6层）,59㎡,2室1厅1卫,高井,南 北        ,石景山,整租·高井2室1厅南/北,石景山其它,3300
中楼层（15层）,65㎡,1室1厅1卫,水岸温泉,南        ,海淀,整租·水岸温泉1室1厅南,海淀北部新区,4000
高楼层（4层）,56㎡,2室1厅1卫,富强西里,南 北        ,大兴,整租·富强西里2室1厅南/北,黄村中,3400
中楼层（16层）,47㎡,1室1厅1卫,西坝河北里,南        ,朝阳,整租·西坝河北里1室1厅南,西坝河,6000
中楼层（9层）,27㎡,1室1厅1卫,旭辉26街区,北        ,顺义,整租·旭辉26街区1室1厅北,顺义其它,3300
高楼层（5层）,41㎡,2室1厅1卫,古城特钢楼,东 西        ,石景山,整租·古城特钢楼2室1厅东/西,古城,3400
中楼层（6层）,55㎡,2室1厅1卫,大井东里,南        ,丰台,整租·大井东里2室1厅南,岳各庄,4500
中楼层（6层）,31㎡,2房间1卫,西山国际城,南        ,海淀,整租·西山国际城2房间跃层南,田村,4000
低楼层（6层）,46㎡,1室1厅1卫,枣园小区,南        ,大兴,整租·枣园小区1室1厅南,枣园,3300
低楼层（21层）,63㎡,1室1厅1卫,世纪东方城,西        ,朝阳,整租·世纪东方城1室1厅西,欢乐谷,5800
中楼层（4层）,27㎡,1室1厅1卫,八角路小区,南        ,石景山,整租·八角路小区1室1厅南,八角,2600
低楼层（5层）,54㎡,2室1厅1卫,翠微路2号院,南        ,海淀,整租·翠微路2号院2室1厅南,公主坟,6000
低楼层（6层）,52㎡,2室1厅1卫,电车厂宿舍,南        ,海淀,整租·电车厂宿舍2室1厅南,新街口,3000
中楼层（17层）,15㎡,3室1厅1卫,车道沟南里,西南        ,海淀,整租·车道沟南里3室1厅西南,紫竹桥,3500
高楼层（4层）,27㎡,1室1厅1卫,古城路小区,南        ,石景山,整租·古城路小区1室1厅南,古城,3400
高楼层（27层）,47㎡,1室0厅1卫,城华园,北        ,海淀,整租·城华园1室0厅北,学院路,6000
中楼层（12层）,67㎡,2房间1卫,i立方,东        ,大兴,整租·i立方2房间东,大兴其它,3000
高楼层（15层）,50㎡,1室1厅1卫,欣葆家园二区,南 北        ,丰台,整租·欣葆家园二区1室1厅南/北,科技园区,4000
低楼层（5层）,48㎡,2室1厅1卫,玉泉路16号院,南        ,海淀,整租·玉泉路16号院2室1厅南,玉泉路,5000
高楼层（21层）,89㎡,3室1厅1卫,金隅景和园,南 北        ,朝阳,整租·金隅景和园3室1厅南/北,东坝,5700
低楼层（13层）,23㎡,1房间1卫,7克拉,西        ,丰台,整租·7克拉1房间西,马家堡,3500
高楼层（16层）,43㎡,1室1厅1卫,安华西里社区,南        ,朝阳,整租·安华西里社区1室1厅南,安贞,5600
中楼层（18层）,50㎡,1室1厅1卫,石佛营东里小区,东南        ,朝阳,整租·石佛营东里小区1室1厅东南,石佛营,4300
低楼层（6层）,54㎡,2室1厅1卫,六营门小区,南        ,丰台,整租·六营门小区2室1厅南,旧宫,3600
低楼层（10层）,76㎡,2室2厅1卫,汇鸿家园,南 北        ,朝阳,整租·汇鸿家园2室2厅南/北,管庄,5500
低楼层（14层）,55㎡,2房间1卫,风格景园,北        ,丰台,整租·风格景园2房间北,西罗园,4700
低楼层（6层）,95㎡,2室1厅1卫,福怡苑,南 北        ,朝阳,整租·福怡苑2室1厅南/北,定福庄,5300
低楼层（1层）,16㎡,1室1厅0卫,桃条胡同,北        ,东城,整租·桃条胡同1室1厅北,交道口,4500
低楼层（6层）,58㎡,2室1厅1卫,永乐西区,南 北        ,石景山,整租·永乐西区2室1厅南/北,鲁谷,4000
中楼层（6层）,78㎡,2室1厅1卫,中泽家园,南 北        ,通州,整租·中泽家园2室1厅南/北,九棵树(家乐福),3600
低楼层（6层）,45㎡,1室1厅1卫,前泥洼小区,南        ,丰台,整租·前泥洼小区1室1厅南,丽泽,4400
高楼层（6层）,74㎡,2室1厅1卫,朝阳新城三区,东        ,朝阳,整租·朝阳新城三区2室1厅东,东坝,5000
中楼层（22层）,71㎡,2室1厅1卫,苗圃东里,西 北        ,丰台,整租·苗圃东里2室1厅西/北,赵公口,4400
低楼层（6层）,59㎡,2室1厅1卫,慧忠里,南 北        ,朝阳,整租·慧忠里2室1厅南/北,亚运村,5500
高楼层（22层）,92㎡,2室1厅1卫,中建雅颂居,东        ,通州,整租·中建雅颂居2室1厅东,潞苑,3400
中楼层（6层）,47㎡,1房间1卫,金地朗悦YOYO派,北        ,房山,整租·金地朗悦YOYO派1房间北,长阳,2600
高楼层（6层）,61㎡,1室1厅1卫,滨河小区,南 北        ,顺义,整租·滨河小区1室1厅南/北,顺义城,2800
高楼层（6层）,57㎡,2室1厅1卫,万源南里,南 北        ,丰台,整租·万源南里2室1厅南/北,旧宫,3500
中楼层（6层）,59㎡,2室1厅1卫,六营门小区,南 北        ,丰台,整租·六营门小区2室1厅南/北,旧宫,3900
中楼层（11层）,58㎡,2室2厅1卫,东平里,东南        ,朝阳,整租·东平里2室2厅东南,首都机场,3400
高楼层（18层）,47㎡,1室1厅1卫,农光里,南        ,朝阳,整租·农光里1室1厅南,劲松,4700
高楼层（6层）,84㎡,2室1厅1卫,石园南区,南 北        ,顺义,整租·石园南区2室1厅南/北,顺义城,3200
中楼层（6层）,70㎡,3室1厅1卫,苗圃宿舍家属楼,南 北        ,海淀,整租·苗圃宿舍家属楼3室1厅南/北,五棵松,5500
高楼层（7层）,68㎡,2室1厅1卫,福怡苑,南        ,朝阳,整租·福怡苑2室1厅南,定福庄,5200
高楼层（6层）,58㎡,1室1厅1卫,轮胎厂宿舍,南 北        ,海淀,整租·轮胎厂宿舍1室1厅南/北,西三旗,4300
高楼层（14层）,47㎡,1室1厅1卫,石门营新区四区,南        ,门头沟,整租·石门营新区四区1室1厅南,石门营,2400
高楼层（6层）,42㎡,1室1厅1卫,安贞西里,南 北        ,朝阳,整租·安贞西里1室1厅南/北,安贞,6000
高楼层（11层）,41㎡,1室1厅1卫,新奥洋房,东        ,东城,整租·新奥洋房1室1厅东,永定门,5200
中楼层（16层）,50㎡,1室1厅1卫,朝丰家园,南        ,朝阳,整租·朝丰家园1室1厅南,豆各庄,3700
中楼层（10层）,46㎡,1室1厅1卫,柳浪家园南里,南        ,海淀,整租·柳浪家园南里1室1厅南,马连洼,4900
中楼层（6层）,43㎡,1室1厅1卫,幸福东区,南 北        ,顺义,整租·幸福东区1室1厅南/北,顺义城,3200
高楼层（6层）,60㎡,2室1厅1卫,吕营嘉园C区,南 北        ,朝阳,整租·吕营嘉园C区2室1厅南/北,十里河,5000
中楼层（16层）,45㎡,1室1厅1卫,前门东大街,西        ,东城,整租·前门东大街1室1厅西,崇文门,6000
高楼层（6层）,47㎡,1室1厅1卫,南顶村,南        ,丰台,整租·南顶村1室1厅南,赵公口,3800
高楼层（12层）,50㎡,1室0厅1卫,久居雅园,北        ,通州,整租·久居雅园1室0厅北,临河里,3200
高楼层（21层）,48㎡,1室1厅1卫,御景春天,南        ,丰台,整租·御景春天1室1厅南,科技园区,4400
高楼层（6层）,58㎡,1室1厅1卫,甘露园南里,南        ,朝阳,整租·甘露园南里1室1厅南,甘露园,4500
中楼层（18层）,53㎡,2室0厅1卫,百合园,西        ,丰台,整租·百合园2室0厅西,右安门外,4500
高楼层（12层）,39㎡,1室0厅1卫,亦庄北岸,西        ,大兴,整租·亦庄北岸1室0厅西,旧宫,3300
低楼层（6层）,60㎡,2室1厅1卫,石榴园北里小区,南 北        ,丰台,整租·石榴园北里小区2室1厅南/北,刘家窑,4700
中楼层（11层）,27㎡,2房间1卫,7克拉,西        ,丰台,整租·7克拉2房间复式西,马家堡,4100
低楼层（6层）,41㎡,1室1厅1卫,慈云寺,南        ,朝阳,整租·慈云寺1室1厅南,红庙,4800
低楼层（6层）,52㎡,2室1厅1卫,磨房北里,南 北        ,朝阳,整租·磨房北里2室1厅南/北,北工大,5000
中楼层（7层）,48㎡,1室1厅1卫,名佳花园一区,南        ,昌平,整租·名佳花园一区1室1厅南,北七家,3200
低楼层（13层）,23㎡,1房间1卫,7克拉,西        ,丰台,整租·7克拉1房间西,马家堡,3600
低楼层（15层）,80㎡,2室1厅1卫,蓝桥驿苑,南 北        ,大兴,整租·蓝桥驿苑2室1厅南/北,大兴其它,2800
高楼层（6层）,15㎡,1室1厅1卫,五建小区,南        ,朝阳,整租·五建小区1室1厅南,定福庄,2500
低楼层（22层）,90㎡,2室1厅1卫,大方居,东        ,通州,整租·大方居2室1厅东,九棵树(家乐福),3500
高楼层（5层）,26㎡,1室0厅1卫,八角南路,东        ,石景山,整租·八角南路1室0厅东,八角,2000
低楼层（18层）,51㎡,1室1厅1卫,车站西街17号院,南        ,西城,整租·车站西街17号院1室1厅南,广安门,5000
低楼层（6层）,33㎡,1室1厅1卫,永乐东区,南        ,石景山,整租·永乐东区1室1厅南,鲁谷,3900
中楼层（6层）,47㎡,1室1厅1卫,西罗园四区,南 北        ,丰台,整租·西罗园四区1室1厅南/北,西罗园,4200
中楼层（13层）,34㎡,1室0厅1卫,新裕家园,北        ,东城,整租·新裕家园1室0厅北,崇文门,5500
中楼层（9层）,38㎡,1房间1卫,东亚首航国际,北        ,顺义,整租·东亚首航国际1房间北,顺义其它,2500
地下室（6层）,40㎡,1室1厅1卫,安慧东里,西南        ,朝阳,整租·安慧东里1室1厅西南,亚运村小营,5500
高楼层（18层）,41㎡,1室1厅1卫,工体南路,北        ,朝阳,整租·工体南路1室1厅北,东大桥,6000
低楼层（24层）,47㎡,1室1厅1卫,远中悦麒,西        ,丰台,整租·远中悦麒1室1厅西,木樨园,4000
中楼层（6层）,35㎡,1室1厅1卫,胜古南里,南        ,朝阳,整租·胜古南里1室1厅南,惠新西街,5300
中楼层（7层）,69㎡,2室1厅1卫,康家园,南 北        ,朝阳,整租·康家园2室1厅南/北,甘露园,5500
中楼层（6层）,60㎡,2室1厅1卫,东关北里小区,南        ,昌平,整租·东关北里小区2室1厅南,东关,3300
低楼层（8层）,47㎡,1室0厅1卫,柳浪家园北里,西        ,海淀,整租·柳浪家园北里1室0厅西,马连洼,5000
中楼层（24层）,59㎡,1室1厅1卫,芍药居北里,北        ,朝阳,整租·芍药居北里1室1厅北,芍药居,5300
低楼层（24层）,64㎡,2室1厅1卫,芍药居北里,北        ,朝阳,整租·芍药居北里2室1厅北,芍药居,6000
低楼层（28层）,60㎡,1室1厅1卫,弘善家园,南        ,朝阳,整租·弘善家园1室1厅南,潘家园,5500
高楼层（10层）,57㎡,1室1厅1卫,双河北里,南        ,大兴,整租·双河北里1室1厅南,黄村中,3000
高楼层（12层）,50㎡,1室0厅1卫,久居雅园,北        ,通州,整租·久居雅园1室0厅北,临河里,3200
高楼层（6层）,58㎡,2室1厅1卫,梅园,南        ,海淀,整租·梅园2室1厅南,马连洼,6000
高楼层（18层）,69㎡,2室1厅1卫,盛嘉华苑,南        ,大兴,整租·盛嘉华苑2室1厅南,大兴其它,3300
中楼层（27层）,60㎡,1室1厅1卫,泰福苑D2区,南        ,朝阳,整租·泰福苑D2区1室1厅南,定福庄,5000
高楼层（6层）,74㎡,2室1厅1卫,三合南里,东 西        ,大兴,整租·三合南里2室1厅东/西,黄村中,2500
低楼层（12层）,66㎡,1室1厅1卫,上东上层,东 北        ,朝阳,整租·上东上层1室1厅东/北,东坝,5300
高楼层（4层）,20㎡,1室0厅1卫,古城路小区,南        ,石景山,整租·古城路小区1室0厅南,古城,2400
高楼层（5层）,63㎡,2室1厅1卫,建新南区,南 北        ,顺义,整租·建新南区2室1厅南/北,顺义城,3000
中楼层（6层）,42㎡,1室1厅1卫,四合巷小区,南        ,房山,整租·四合巷小区1室1厅南,良乡,2200
高楼层（6层）,62㎡,2室1厅1卫,酒仙桥十街坊,南        ,朝阳,整租·酒仙桥十街坊2室1厅南,酒仙桥,5500
高楼层（4层）,48㎡,2室1厅1卫,葛村西里,南 北        ,丰台,整租·葛村西里2室1厅南/北,玉泉营,4500
中楼层（5层）,57㎡,2室1厅1卫,建新北区,南 北        ,顺义,整租·建新北区2室1厅南/北,顺义城,3300
高楼层（5层）,52㎡,2室1厅1卫,建新北区,南 北        ,顺义,整租·建新北区2室1厅南/北,顺义城,2700
高楼层（7层）,104㎡,2室1厅2卫,新潮嘉园二期,南 北        ,通州,整租·新潮嘉园二期2室1厅南/北,潞苑,3500
中楼层（11层）,59㎡,1室0厅1卫,月亮城堡,南        ,通州,整租·月亮城堡1室0厅南,武夷花园,3300
高楼层（18层）,36㎡,1室0厅1卫,北街家园八区,西        ,昌平,整租·北街家园八区1室0厅西,沙河,2600
低楼层（5层）,52㎡,1室1厅1卫,伟业嘉园西里,南        ,房山,整租·伟业嘉园西里1室1厅南,良乡,2300
中楼层（6层）,55㎡,2室1厅1卫,红联村3号院,南 北        ,海淀,整租·红联村3号院2室1厅南/北,新街口,6000
中楼层（6层）,60㎡,2室1厅1卫,滨河东里,南        ,大兴,整租·滨河东里2室1厅南,枣园,3300
高楼层（6层）,74㎡,2室1厅1卫,上潞园,南 北        ,通州,整租·上潞园2室1厅南/北,潞苑,2900
高楼层（5层）,37㎡,1室1厅1卫,志强北园,南        ,海淀,整租·志强北园1室1厅南,小西天,6000
高楼层（13层）,32㎡,1室0厅1卫,兰德华庭,北        ,海淀,整租·兰德华庭1室0厅北,田村,5000
高楼层（24层）,53㎡,1室0厅1卫,远见名苑,东        ,西城,整租·远见名苑1室0厅东,广安门,5800
低楼层（6层）,57㎡,2室1厅1卫,春晖园,南        ,海淀,整租·春晖园2室1厅南,西北旺,5500
低楼层（22层）,89㎡,2室1厅1卫,大方居,东 西        ,通州,整租·大方居2室1厅东/西,九棵树(家乐福),3500
低楼层（16层）,49㎡,1室0厅1卫,加州水郡金桥国际酒店,东        ,房山,整租·加州水郡金桥国际酒店1室0厅东,长阳,2300
低楼层（28层）,61㎡,1室1厅1卫,北京新天地五期,北        ,朝阳,整租·北京新天地五期1室1厅北,常营,4500
低楼层（27层）,62㎡,1室1厅1卫,北京新天地五期,东        ,朝阳,整租·北京新天地五期1室1厅东,常营,5500
中楼层（11层）,48㎡,1室0厅1卫,佳和宜园,南        ,顺义,整租·佳和宜园1室0厅南,马坡,2600
中楼层（27层）,41㎡,1室0厅1卫,大峪小白楼,南        ,门头沟,整租·大峪小白楼1室0厅南,大峪,2500
中楼层（15层）,38㎡,1室1厅1卫,蒲黄榆路,南 北        ,丰台,整租·蒲黄榆路1室1厅南/北,蒲黄榆,4500
低楼层（6层）,62㎡,2室1厅1卫,南平里,南        ,朝阳,整租·南平里2室1厅南,首都机场,3400
高楼层（9层）,90㎡,2室1厅1卫,新兴家园,南 北        ,大兴,整租·新兴家园2室1厅南/北,大兴其它,2600
高楼层（22层）,51㎡,1室0厅1卫,北花园小区,南        ,朝阳,整租·北花园小区1室0厅南,双桥,4100
高楼层（6层）,60㎡,2室1厅1卫,青塔秀园,南 北        ,丰台,整租·青塔秀园2室1厅南/北,青塔,4200
中楼层（8层）,54㎡,1房间1卫,通厦公元99,南        ,海淀,整租·通厦公元991房间南,西三旗,5000
高楼层（10层）,71㎡,2室1厅1卫,芳怡园,南 北        ,海淀,整租·芳怡园2室1厅南/北,西北旺,6000
中楼层（8层）,55㎡,1室1厅1卫,芳怡园,东 西        ,海淀,整租·芳怡园1室1厅东/西,西北旺,5000
低楼层（6层）,58㎡,2室1厅1卫,程庄路6号院,南 北        ,丰台,整租·程庄路6号院2室1厅南/北,五里店,4500
中楼层（6层）,59㎡,2室1厅1卫,南竺园,南 北        ,顺义,整租·南竺园2室1厅南/北,首都机场,3200
中楼层（18层）,47㎡,1室1厅1卫,二里庄小区,东        ,海淀,整租·二里庄小区1室1厅东,二里庄,5800
高楼层（6层）,61㎡,2室1厅1卫,八里庄北里小区,南 北        ,朝阳,整租·八里庄北里小区2室1厅南/北,石佛营,6000
高楼层（13层）,39㎡,1房间1卫,东亚创展国际,西        ,顺义,整租·东亚创展国际1房间西,后沙峪,3150
中楼层（15层）,49㎡,1室1厅1卫,金蝉南里,南        ,朝阳,整租·金蝉南里1室1厅南,欢乐谷,4800
低楼层（14层）,82㎡,2室1厅1卫,和悦居,南 北        ,顺义,整租·和悦居2室1厅南/北,顺义其它,3300
低楼层（6层）,78㎡,2室1厅1卫,郝庄家园,南 北        ,昌平,整租·郝庄家园2室1厅南/北,西关环岛,3000
低楼层（6层）,37㎡,1室1厅1卫,曙光西里,东        ,朝阳,整租·曙光西里1室1厅东,三元桥,4500
低楼层（18层）,28㎡,1室1厅1卫,城市经典,南        ,丰台,整租·城市经典1室1厅南,科技园区,3500
低楼层（12层）,61㎡,1室0厅1卫,莲水怡园,南        ,亦庄开发区,整租·莲水怡园1室0厅南,马驹桥,2800
高楼层（11层）,56㎡,1室0厅1卫,鼎晟国际,南        ,通州,整租·鼎晟国际1室0厅南,万达,3600
中楼层（6层）,68㎡,2室1厅1卫,石园东区,南 北        ,顺义,整租·石园东区2室1厅南/北,顺义城,2800
高楼层（12层）,44㎡,1室1厅1卫,复兴路甲65号,南        ,海淀,整租·复兴路甲65号1室1厅南,万寿路,5300
高楼层（15层）,50㎡,1室0厅1卫,瑞雪春堂,南        ,房山,整租·瑞雪春堂1室0厅南,良乡,2400
中楼层（6层）,47㎡,1室1厅1卫,平乐园小区,南 北        ,朝阳,整租·平乐园小区1室1厅南/北,北工大,4700
低楼层（15层）,67㎡,2室1厅1卫,知本时代,南 北        ,海淀,整租·知本时代2室1厅南/北,西三旗,6000
中楼层（26层）,38㎡,1室0厅1卫,荣丰2008,北        ,西城,整租·荣丰20081室0厅北,广安门,4200
高楼层（7层）,13㎡,1室1厅1卫,泰中花园,北        ,大兴,整租·泰中花园1室1厅北,大兴开发区,2000
中楼层（10层）,55㎡,1室1厅1卫,芳怡园,东 西        ,海淀,整租·芳怡园1室1厅东/西,西北旺,5500
高楼层（24层）,43㎡,1室0厅1卫,乐城,北        ,西城,整租·乐城1室0厅北,菜户营,4500
低楼层（5层）,38㎡,2室0厅0卫,八角南路,东 西        ,石景山,整租·八角南路2室0厅东/西,八角,2600
中楼层（6层）,62㎡,2室1厅1卫,绿岛苑东区,南        ,朝阳,整租·绿岛苑东区2室1厅南,定福庄,4500
中楼层（6层）,44㎡,1室1厅1卫,玉林东里一区,西        ,丰台,整租·玉林东里一区1室1厅西,右安门外,4700
高楼层（6层）,47㎡,1室1厅1卫,石榴园南里小区,西        ,丰台,整租·石榴园南里小区1室1厅西,刘家窑,4500
低楼层（9层）,48㎡,2房间1卫,中国铁建顺鑫汇,西        ,顺义,整租·中国铁建顺鑫汇2房间西,顺义其它,2800
高楼层（6层）,73㎡,2室1厅1卫,康静里,西        ,朝阳,整租·康静里2室1厅西,东坝,5000
高楼层（6层）,76㎡,2室1厅1卫,南苑北里一区,东 西        ,丰台,整租·南苑北里一区2室1厅东/西,和义,4000
中楼层（5层）,59㎡,2室2厅1卫,北环里小区,南 北        ,昌平,整租·北环里小区2室2厅南/北,鼓楼大街,3100
中楼层（6层）,55㎡,2室1厅1卫,义宾南区,南 北        ,顺义,整租·义宾南区2室1厅南/北,顺义城,3200
高楼层（10层）,50㎡,2房间1卫,房山超级蜂巢,南        ,房山,整租·房山超级蜂巢2房间南,良乡,2100
高楼层（15层）,47㎡,1室1厅1卫,欣葆家园二区,南        ,丰台,整租·欣葆家园二区1室1厅南,科技园区,4300
低楼层（6层）,63㎡,2室2厅1卫,定福庄南里1号院,南        ,朝阳,整租·定福庄南里1号院2室2厅南,定福庄,5000
中楼层（6层）,45㎡,1室1厅1卫,西革新里110号院,东        ,东城,整租·西革新里110号院1室1厅东,永定门,4700
中楼层（6层）,55㎡,2室1厅1卫,延静里中街,西南        ,朝阳,整租·延静里中街2室1厅西南,红庙,5800
高楼层（6层）,43㎡,1室1厅1卫,酒仙桥一街坊,南        ,朝阳,整租·酒仙桥一街坊1室1厅南,酒仙桥,5000
高楼层（6层）,47㎡,1室1厅1卫,东幸福街,南 北        ,丰台,整租·东幸福街1室1厅南/北,北大地,3700
高楼层（20层）,44㎡,1室1厅1卫,和平街西苑,南        ,朝阳,整租·和平街西苑1室1厅南,和平里,6000
中楼层（10层）,55㎡,1室1厅1卫,芳怡园,东 西        ,海淀,整租·芳怡园1室1厅东/西,西北旺,4000
高楼层（6层）,70㎡,2室1厅1卫,西宏苑,南 北        ,丰台,整租·西宏苑2室1厅南/北,西红门,3500
高楼层（6层）,40㎡,1室0厅1卫,华馨公寓,东        ,朝阳,整租·华馨公寓1室0厅东,亚运村,6000
低楼层（6层）,63㎡,2室1厅1卫,桃源里,南 北        ,丰台,整租·桃源里2室1厅南/北,旧宫,3400
高楼层（6层）,59㎡,2室1厅1卫,劲松四区,南 北        ,朝阳,整租·劲松四区2室1厅南/北,劲松,5800
低楼层（16层）,36㎡,1室0厅1卫,加州水郡金桥国际酒店,南        ,房山,整租·加州水郡金桥国际酒店1室0厅南,长阳,2300
低楼层（28层）,71㎡,2室1厅1卫,弘善家园,东南        ,朝阳,整租·弘善家园2室1厅东南,潘家园,6000
低楼层（10层）,57㎡,2室1厅2卫,空港国际,南        ,顺义,整租·空港国际2室1厅南,顺义其它,3300
高楼层（27层）,86㎡,2室1厅1卫,华贸城,南        ,朝阳,整租·华贸城2室1厅南,北苑,5000
中楼层（9层）,52㎡,1室0厅1卫,美然动力A3区,南        ,朝阳,整租·美然动力A3区1室0厅南,定福庄,4500
中楼层（7层）,58㎡,1室1厅1卫,建材城东一里,西        ,海淀,整租·建材城东一里1室1厅西,西三旗,5000
高楼层（6层）,64㎡,2室1厅1卫,永安里小区,南 北        ,昌平,整租·永安里小区2室1厅南/北,鼓楼大街,3200
高楼层（5层）,52㎡,2室1厅1卫,建新北区,南        ,顺义,整租·建新北区2室1厅南,顺义城,3000
中楼层（18层）,70㎡,2室1厅1卫,北街家园六区,南        ,昌平,整租·北街家园六区2室1厅南,沙河,4000
高楼层（5层）,65㎡,1室1厅1卫,名佳花园三区,南 北        ,昌平,整租·名佳花园三区1室1厅南/北,北七家,3600
高楼层（6层）,54㎡,1室1厅1卫,美然动力A3区,南 北        ,朝阳,整租·美然动力A3区1室1厅南/北,定福庄,5200
中楼层（24层）,52㎡,1室1厅1卫,都城心屿,南        ,朝阳,整租·都城心屿1室1厅南,劲松,6000
高楼层（6层）,61㎡,2室1厅1卫,翠福园,东北        ,通州,整租·翠福园2室1厅东北,北关,3500
低楼层（6层）,55㎡,2室1厅1卫,清源西里,南 北        ,大兴,整租·清源西里2室1厅南/北,枣园,3300
高楼层（10层）,42㎡,1室1厅1卫,碧森里,南        ,海淀,整租·碧森里1室1厅南,田村,4800
中楼层（20层）,44㎡,1室1厅1卫,和平街西苑,南        ,朝阳,整租·和平街西苑1室1厅南,和平里,5000
高楼层（4层）,46㎡,2室1厅1卫,虎坊路小区,南 北        ,西城,整租·虎坊路小区2室1厅南/北,陶然亭,5600
中楼层（4层）,38㎡,2室0厅1卫,八角路小区,南 北        ,石景山,整租·八角路小区2室0厅南/北,八角,3700
高楼层（6层）,47㎡,1室1厅1卫,松榆东里,南        ,朝阳,整租·松榆东里1室1厅南,北工大,6000
低楼层（23层）,89㎡,2室1厅1卫,富力又一城C区,东南        ,朝阳,整租·富力又一城C区2室1厅东南,豆各庄,5500
低楼层（14层）,40㎡,1房间1卫,明天生活馆,西        ,朝阳,整租·明天生活馆1房间西,立水桥,3800
高楼层（12层）,92㎡,2室1厅1卫,澜西园三区,南        ,顺义,整租·澜西园三区2室1厅南,顺义其它,3200
中楼层（6层）,78㎡,2室1厅1卫,田村40号院,南 北        ,海淀,整租·田村40号院2室1厅南/北,田村,6000
高楼层（27层）,55㎡,1室1厅1卫,北辰福第二号院,东南        ,朝阳,整租·北辰福第二号院1室1厅东南,常营,5500
中楼层（15层）,49㎡,1室1厅1卫,西直门北大街甲41号,南        ,西城,整租·西直门北大街甲41号1室1厅南,西直门,5800
低楼层（6层）,51㎡,1室1厅1卫,玉桥南里,南 北        ,通州,整租·玉桥南里1室1厅南/北,玉桥,3000
中楼层（9层）,45㎡,2房间1卫,东亚三环,西        ,丰台,整租·东亚三环2房间西,马家堡,4000
高楼层（7层）,62㎡,2室1厅1卫,梅源里小区,南 北        ,丰台,整租·梅源里小区2室1厅南/北,旧宫,3300
低楼层（6层）,55㎡,1室1厅1卫,小街之春,南        ,通州,整租·小街之春1室1厅南,临河里,3000
高楼层（6层）,101㎡,3室2厅1卫,温泉花园B区,南 北        ,昌平,整租·温泉花园B区3室2厅南/北,北七家,3600
低楼层（21层）,37㎡,1室0厅1卫,中海御鑫阁,南        ,丰台,整租·中海御鑫阁1室0厅南,科技园区,4600
中楼层（7层）,43㎡,1室1厅1卫,林萃路10号院,南        ,朝阳,整租·林萃路10号院1室1厅南,奥林匹克公园,5900
中楼层（6层）,40㎡,1室0厅0卫,华馨公寓,西        ,朝阳,整租·华馨公寓1室0厅西,亚运村,5500
高楼层（17层）,46㎡,2房间1卫,北京像素北区,东        ,朝阳,整租·北京像素北区2房间复式东,常营,5400
